word,pos,grapheme,phoneme_real,total_freq
жорж,2,о,o0,2318
жорж,3,р,r,2318
жорж,4,ж,sh,2318
жук,1,ж,zh,1613
жук,2,у,u0,1613
жук,3,к,k,1613
жён,1,ж,zh,4838
жён,2,ё,o0,4838
жён,3,н,n,4838
за,1,з,z,1562110
за,2,а,a0,1562110
зал,1,з,z,18042
зал,2,а,a0,18042
зал,3,л,l,18042
звал,1,з,z,5141
звал,2,в,v,5141
звал,3,а,a0,5141
звал,4,л,l,5141
звать,1,з,z,5443
звать,2,в,v,5443
звать,3,а,a0,5443
звать,4,т,t',5443
звать,5,ь,-,5443
зверь,1,з,z,7862
зверь,2,в,v',7862
зверь,3,е,e0,7862
зверь,4,р,r',7862
зверь,5,ь,-,7862
звон,1,з,z,7056
звон,2,в,v,7056
звон,3,о,o0,7056
звон,4,н,n,7056
звук,1,з,z,15321
звук,2,в,v,15321
звук,3,у,u0,15321
звук,4,к,k,15321
звёзд,1,з,z,7459
звёзд,2,в,v',7459
звёзд,3,ё,o0,7459
звёзд,4,з,z,7459
звёзд,5,д,t,7459
здесь,1,з,z',326876
здесь,2,д,d',326876
здесь,3,е,e0,326876
здесь,4,с,s',326876
здесь,5,ь,-,326876
зла,1,з,z,12095
зла,2,л,l,12095
зла,3,а,a0,12095
зло,1,з,z,16631
зло,2,л,l,16631
зло,3,о,o0,16631
злой,1,з,z,6048
злой,2,л,l,6048
злой,3,о,o0,6048
злой,4,й,j,6048
злом,1,з,z,2217
злом,2,л,l,2217
злом,3,о,o0,2217
злом,4,м,m,2217
злу,1,з,z,2217
злу,2,л,l,2217
злу,3,у,u0,2217
злым,1,з,z,1512
злым,2,л,l,1512
злым,3,ы,y0,1512
злым,4,м,m,1512
змей,1,з,z,1915
змей,2,м,m',1915
змей,3,е,e0,1915
змей,4,й,j,1915
знай,1,з,z,4737
знай,2,н,n,4737
знай,3,а,a0,4737
знай,4,й,j,4737
знак,1,з,z,16027
знак,2,н,n,16027
знак,3,а,a0,16027
знак,4,к,k,16027
знал,1,з,z,93234
знал,2,н,n,93234
знал,3,а,a0,93234
знал,4,л,l,93234
знать,1,з,z,61283
знать,2,н,n,61283
знать,3,а,a0,61283
знать,4,т,t',61283
знать,5,ь,-,61283
зон,1,з,z,1714
зон,2,о,o0,1714
зон,3,н,n,1714
зря,1,з,z,14313
зря,2,р,r',14313
зря,3,я,a0,14313
зуб,1,з,z,4435
зуб,2,у,u0,4435
зуб,3,б,p,4435
зять,1,з,z',3427
зять,2,я,a0,3427
зять,3,т,t',3427
зять,4,ь,-,3427
и,1,и,i0,14926127
игр,1,и,i0,3125
игр,2,г,g,3125
игр,3,р,r,3125
из,1,и,i0,1666937
из,2,з,s,1666937
изб,1,и,i0,1512
изб,2,з,s,1512
изб,3,б,p,1512
иль,1,и,i0,3629
иль,2,л,l',3629
иль,3,ь,-,3629
